date,subways_total_estimated_ridership,subways_of_comparable_pre_pandemic_day,buses_total_estimated_ridersip,buses_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_of_comparable_pre_pandemic_day
2023-03-16T00:00:00.000,3949788,0.71,1522248,0.68,209838,0.67,187573,0.68,30151,1.01,976134,1.06,7562,0.47
2023-03-17T00:00:00.000,3661519,0.66,1408472,0.63,199191,0.64,171443,0.62,28094,0.94,965113,1.05,6790,0.43
2023-03-18T00:00:00.000,2417873,0.79,921569,0.69,102021,0.95,101788,0.75,16828,0.99,924274,1.06,1839,0.36
2023-03-19T00:00:00.000,1894476,0.83,661736,0.67,82032,0.95,72936,0.77,16471,0.93,880371,1.09,1247,0.40
2023-03-20T00:00:00.000,3442589,0.62,1444823,0.64,191367,0.61,167256,0.61,26951,0.91,896248,0.97,6895,0.43
2023-03-21T00:00:00.000,3801084,0.68,1511670,0.67,213026,0.68,189925,0.69,29466,0.99,918684,1.00,7850,0.49
2023-03-22T00:00:00.000,3797399,0.68,1509096,0.67,202826,0.65,184321,0.67,29999,1.01,920292,1.00,7589,0.48
2023-03-23T00:00:00.000,3774396,0.68,1466839,0.65,200870,0.64,177877,0.65,29189,0.98,934634,1.01,7208,0.45
2023-03-24T00:00:00.000,3534300,0.63,1420346,0.63,188352,0.60,159574,0.58,27883,0.94,959147,1.04,6133,0.38
2023-03-25T00:00:00.000,2153554,0.70,784068,0.59,89101,0.83,82702,0.61,15556,0.92,830547,0.95,1765,0.35
2023-03-26T00:00:00.000,1939984,0.85,724870,0.73,83054,0.96,81819,0.87,16878,0.96,871824,1.08,1648,0.52
2023-03-27T00:00:00.000,3397258,0.61,1426226,0.64,192461,0.61,166543,0.60,26394,0.89,885237,0.96,6675,0.42
2023-03-28T00:00:00.000,3765920,0.68,1490842,0.67,207837,0.66,189294,0.69,28923,0.97,894984,0.97,7541,0.47
2023-03-29T00:00:00.000,3872948,0.70,1521968,0.68,208736,0.67,187520,0.68,29771,1.00,922903,1.00,7825,0.49
